arm,experiment,variant,seed,master_seed,status,physics_alignment,alignment_statistic,comparable,second_conjunct_name,second_conjunct_value,threshold,second_threshold,recovered,physics_alignment_mdl,second_conjunct_value_mdl,recovered_mdl,r_hat,m_fit,n_train_simulations,n_eval_simulations,n_augmented_coordinate_evaluations,complexity_total,mdl_total,nll_neural,nll_symbolic,r2_true_min,r2_sr_min,expression,expression_mdl,source_path
three_step,rosenbrock,,0,0,success,0.963406024686498,pearson_abs_corr,1,complementary_linear_alignment,0.9999999999999997,0.5,0.5,1,,,,,,500,500,2000,28,256.08514404296875,,,,,1.003*(0.059*theta1 - 0.155*theta2 - (0.045*(1.006*theta1 + 0.008)**2 - 1.612)**2 + 0.001)**2 - 0.074 | 6.622 - 2.093*theta1,,records/three_step/rosenbrock/seed_0
three_step,rosenbrock,,1,1,success,0.9484478145110434,pearson_abs_corr,1,complementary_linear_alignment,1,0.5,0.5,1,,,,,,500,500,2000,28,395.6628189086914,,,,,-0.274*theta1 + 1.003*(0.163*theta2 + (0.049*(1.003*theta1 - 0.008)**2 - 1.544)**2 + 0.001)**2 + 0.074 | 8.046 - 2.073*theta1,,records/three_step/rosenbrock/seed_1
three_step,rosenbrock,,2,2,success,0.8118318406361296,pearson_abs_corr,1,complementary_linear_alignment,0.9988247825582134,0.5,0.5,1,,,,,,500,500,2000,40,317.71983337402344,,,,,(0.053*theta1 + 0.938)*(0.575*theta1 - 0.681*theta2 + 0.45*(1.004*theta1 - 0.01)**2 - 0.006) + 3.823 | (0.045*theta2 - 2.211)*(0.799*theta1 + 0.026*theta2 - 0.008) + 3.823,,records/three_step/rosenbrock/seed_2
three_step,rosenbrock,,3,3,success,0.9870521963463307,pearson_abs_corr,1,complementary_linear_alignment,0.9992555687311879,0.5,0.5,1,,,,,,500,500,2000,28,280.7957000732422,,,,,0.982*theta1**2 + 0.294*theta1 - 1.045*theta2 + 5.976 | -2.649*theta1 + 0.104*theta2 + 5.985,,records/three_step/rosenbrock/seed_3
three_step,rosenbrock,,4,4,success,0.6252076012041339,pearson_abs_corr,1,complementary_linear_alignment,0.997529463969157,0.5,0.5,1,,,,,,500,500,2000,28,403.6179504394531,,,,,-0.516*theta1**2 - 1.396*theta1 + 0.847*theta2 + 9.395 | -2.42*theta1 - 0.172*theta2 + 9.383,,records/three_step/rosenbrock/seed_4
three_step,rosenbrock,,5,5,success,0.9370247331426861,pearson_abs_corr,1,complementary_linear_alignment,1,0.5,0.5,1,,,,,,500,500,2000,24,330.6320037841797,,,,,0.473*theta1**2 + 0.331*theta1 - 0.622*theta2 + 4.585 | 4.564 - 1.882*theta1,,records/three_step/rosenbrock/seed_5
three_step,rosenbrock,,6,6,success,0.9895814672276451,pearson_abs_corr,1,complementary_linear_alignment,1,0.5,0.5,1,,,,,,500,500,2000,24,366.3901062011719,,,,,0.528*theta1**2 + 0.136*theta1 - 0.59*theta2 + 3.887 | 3.882 - 1.927*theta1,,records/three_step/rosenbrock/seed_6
three_step,rosenbrock,,7,7,success,0.8222583451309402,pearson_abs_corr,1,complementary_linear_alignment,1,0.5,0.5,1,,,,,,500,500,2000,24,266.34930419921875,,,,,0.427*theta1**2 + 0.605*theta1 - 0.689*theta2 + 4.662 | 4.685 - 1.982*theta1,,records/three_step/rosenbrock/seed_7
three_step,rosenbrock,,8,8,success,0.9209635826238197,pearson_abs_corr,1,complementary_linear_alignment,0.9999999999999999,0.5,0.5,1,,,,,,500,500,2000,24,458.1295623779297,,,,,-0.464*theta1**2 - 0.322*theta1 + 0.786*theta2 + 6.868 | 6.865 - 1.964*theta1,,records/three_step/rosenbrock/seed_8
three_step,rosenbrock,,9,9,success,0.7764780474147903,pearson_abs_corr,1,complementary_linear_alignment,0.9987113594429458,0.5,0.5,1,,,,,,500,500,2000,28,273.3978805541992,,,,,0.503*theta1**2 + 0.777*theta1 - 0.637*theta2 + 4.249 | -1.938*theta1 - 0.101*theta2 + 4.262,,records/three_step/rosenbrock/seed_9
one_step,rosenbrock,,0,62,success,0.9993316920795859,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,,,,2,2,500,1000,2000,,,-1.3525516860215805,-1.2296600401629194,0.9993316920795859,0.9999999511756779,(40.924255 + (1.637981 * ((((-0.618504) * X1) * (3.636099 * X1)) + (3.139210 * X2)))) | (55.491451 + (0.426374 * (((-36.179089) * X1) + (0.610590 * X2)))),(40.924255 + (1.637981 * ((((-0.618504) * X1) * (3.636099 * X1)) + (3.139210 * X2)))) | (55.523369 + (0.999606 * (((((-0.409792) * X1) * ((-2.416708) * X2)) + ((-15.352356) * X1)) + (0.204182 * X2)))),records/one_step/rosenbrock/seed_0
one_step,rosenbrock,,1,7981,success,0.9995847471799855,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,,,,2,2,500,1000,2000,18,,-0.9510021783921705,-1.0919354967148847,0.9995847471799855,0.9999960590861351,(59.033215 + (53.569870 * (((27.948790 * X1) * ((-0.003545) * X1)) + (0.104688 * X2)))) | (41.236538 + ((-4.236503) * ((5.443419 * X1) / ((0.034683 * X2) + 1.803926)))),(59.562401 + (1.000001 * ((0.501387 * X1) + ((((3.485775 * X1) * ((-0.234376) * X1)) + 58.982613) * (((0.031800 * X1) * ((-3.154443) * X1)) + (0.099371 * X2)))))) | (41.237091 + (0.999998 * (((-117.482635) * X1) / sqrt(((3.265333 * X2) + 84.550407))))),records/one_step/rosenbrock/seed_1
one_step,rosenbrock,,2,15900,success,0.9997263699944172,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,0.9997263699944172,,,2,2,500,1000,2000,10,,-1.3148792320061027,-1.3110915559707732,0.9997263699944172,0.9999738717077605,(459.058533 + (0.999994 * (((((-30.098963) + ((-0.030190) * X2)) + ((-5.042225) * X1)) * sqrt((172.536240 + (47.217705 * X1)))) + ((5.896180 * X2) + (119.159546 * X1))))) | (38.467487 + (0.988482 * ((0.145941 * X2) + ((((-0.810752) * X2) + (((1.719706 * X1) * (0.434294 * X1)) + 39.076561)) * ((-0.281184) * X1))))),(459.058533 + (0.999994 * (((((-30.098963) + ((-0.030190) * X2)) + ((-5.042225) * X1)) * sqrt((172.536240 + (47.217705 * X1)))) + ((5.896180 * X2) + (119.159546 * X1))))) | (38.467487 + (0.988482 * ((0.145941 * X2) + ((((-0.810752) * X2) + (((1.719706 * X1) * (0.434294 * X1)) + 39.076561)) * ((-0.281184) * X1))))),records/one_step/rosenbrock/seed_2
one_step,rosenbrock,,3,23819,success,0.999266508009063,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,,,,2,2,500,1000,2000,,,-1.0330122501989105,-1.0109862231922195,0.999266508009063,0.9999996812045158,(19.750513 + (0.594026 * ((((9.672937 * X1) * (0.763356 * X1)) + ((-8.298816) * X2)) + (2.639859 * X1)))) | (33.355530 + (1.011791 * ((sqrt((0.501232 + (0.092257 * X1))) * (0.457240 * X2)) + (10.414704 * X1)))),(19.750513 + (0.594026 * ((((9.672937 * X1) * (0.763356 * X1)) + ((-8.298816) * X2)) + (2.639859 * X1)))) | (0.000024 + (1.000000 * (sqrt((1112.924683 + (22.116730 * X2))) + (10.535579 * X1)))),records/one_step/rosenbrock/seed_3
one_step,rosenbrock,,4,31738,success,0.9995408487704229,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,0.9995408487704229,,,2,2,500,1000,2000,10,,-0.9939623353208339,-1.0734137845915068,0.9995408487704229,0.9999302939244068,(67.970634 + (207.362411 * ((((-0.027534) * X1) * (0.964776 * X1)) + (0.028858 * X2)))) | (49.399509 + (0.998858 * (((0.330878 * X1) * (1.433510 * X2)) + ((-13.743738) * X1)))),(67.970634 + (207.362411 * ((((-0.027534) * X1) * (0.964776 * X1)) + (0.028858 * X2)))) | (49.399509 + (0.998858 * (((0.330878 * X1) * (1.433510 * X2)) + ((-13.743738) * X1)))),records/one_step/rosenbrock/seed_4
one_step,rosenbrock,,5,39657,success,0.9990319312956109,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,,,,2,2,500,1000,2000,28,,-1.2975017896429484,-1.2771886548998665,0.9990319312956109,0.9999821363718339,(0.000011 + (1.000000 * ((((0.444134 * X1) + 47.920849) + (5.179259 * X2)) + (((-4.352907) * X1) * (0.964776 * X1))))) | (47.478558 + (1.000000 * (((((-0.189430) * X1) * (((1.250362 * X1) * (2.355982 * X1)) + ((-3.474530) * X2))) + ((-10.685080) * X1)) + (0.188559 * X2)))),(47.918152 + (2.922919 * ((0.152777 * X1) + ((1.772454 * X2) + (((-18.537930) * X1) * (0.077489 * X1)))))) | (47.478558 + (1.000000 * (((((-0.189430) * X1) * (((1.250362 * X1) * (2.355982 * X1)) + ((-3.474530) * X2))) + ((-10.685080) * X1)) + (0.188559 * X2)))),records/one_step/rosenbrock/seed_5
one_step,rosenbrock,,6,47576,success,0.9996066487562923,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,0.9996066487562923,,,2,2,500,1000,2000,10,,-1.2336001180300278,-1.2534270777622012,0.9996066487562923,0.9999999999997308,(0.000005 + ((sqrt(((142.747833 * X1) + 3961.145996)) + ((3.989587 * X1) * ((-1.356557) * X1))) + (5.466398 * X2))) | (43.411526 + (53.188839 * ((-0.254973) * X1))),(0.000005 + ((sqrt(((142.747833 * X1) + 3961.145996)) + ((3.989587 * X1) * ((-1.356557) * X1))) + (5.466398 * X2))) | (43.411526 + (53.188839 * ((-0.254973) * X1))),records/one_step/rosenbrock/seed_6
one_step,rosenbrock,,7,55495,success,0.9687066141451338,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,0.9687066141451338,,,2,2,500,1000,2000,10,,-0.9415485929271912,-0.12426327154315521,0.9687066141451338,1,(64.319763 + ((-21.221291) * ((-0.759981) * X1))) | (14.941696 + (1.170538 * (((-2.206169) * X1) + (2.882267 * X2)))),(64.319763 + ((-21.221291) * ((-0.759981) * X1))) | (14.941696 + (1.170538 * (((-2.206169) * X1) + (2.882267 * X2)))),records/one_step/rosenbrock/seed_7
one_step,rosenbrock,,8,63414,success,0.9995922134043725,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,,,,2,2,500,1000,2000,25,,-1.4998413004353053,-1.5373639675895123,0.9995922134043725,0.9999459576730002,((-0.000005) + ((((-11.244293) * X1) * (0.424438 * X1)) + (((5.824423 * X2) + 63.076706) + (1.181951 * X1)))) | (49.528423 + (4.180208 * (((-0.165124) * X1) * sqrt((((15.104119 * X1) * (1.679363 * X1)) + (((-40.140053) * X2) + 282.213928)))))),(0.000195 + (0.999998 * (((5.824447 * X2) + ((2.064248 * X1) * ((-2.306597) * X1))) + sqrt((3978.646729 + (148.990784 * X1)))))) | (51.439098 + (1.000000 * (((((-21.973272) * X1) + (-3.229625)) / ((4.290493 * X2) + 52.672859)) * (((sqrt(((52.762383 * X2) + 161.500473)) * ((-0.027912) * X1)) * ((-3.168349) * X1)) + 27.514065)))),records/one_step/rosenbrock/seed_8
one_step,rosenbrock,,9,71333,success,0.9993858365597852,r2_true_min,0,complementary_linear_alignment,,0.5,0.5,,0.9993858365597852,,,2,2,500,1000,2000,10,,-1.4228641930835388,-1.4428503349064132,0.9993858365597852,0.9998127955168755,((-0.179346) + (1.000408 * (((-6.587111) * X2) + (((((-0.000811) * X1) * ((-82.889732) * X1)) + 0.284524) * (sqrt((((38.849178 * X1) + 341.960632) + (66.200462 * X2))) + 46.319878))))) | (49.850407 + ((((((1.989978 * X1) * (0.662880 * X2)) + (7.135466 * X1)) * ((-0.076046) * X1)) + ((-13.848638) + (1.339876 * X2))) * ((-0.862022) * X1))),((-0.179346) + (1.000408 * (((-6.587111) * X2) + (((((-0.000811) * X1) * ((-82.889732) * X1)) + 0.284524) * (sqrt((((38.849178 * X1) + 341.960632) + (66.200462 * X2))) + 46.319878))))) | (49.850407 + ((((((1.989978 * X1) * (0.662880 * X2)) + (7.135466 * X1)) * ((-0.076046) * X1)) + ((-13.848638) + (1.339876 * X2))) * ((-0.862022) * X1))),records/one_step/rosenbrock/seed_9
three_step,sir,,0,0,success,0.6149474488862295,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7554,14,9653.30859375,,,,,1.663 - 0.617*beta | 1.87*gamma + 1.363,,records/three_step/sir/seed_0
three_step,sir,,1,1,success,0.6184062956950273,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7626,18,10291.941162109375,,,,,-0.772*beta + 0.611*gamma + 1.701 | 1.639*gamma + 1.301,,records/three_step/sir/seed_1
three_step,sir,,2,2,success,0.6953235759177777,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7592,31,6521.813720703125,,,,,1.65*gamma - 0.119*(1.116*beta + 0.886)**2 + 1.0/(0.447*beta + 0.894*gamma + 0.71)**1.43 + 0.655 | 1.65*gamma + 1.176,,records/three_step/sir/seed_2
three_step,sir,,3,3,success,0.7447377358867572,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7515,16,31382.651245117188,,,,,1.557 - 1.132*gamma | 2.007 - 0.892/(2.232*gamma + 0.888)**4.831,,records/three_step/sir/seed_3
three_step,sir,,4,4,success,0.9155622579739615,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7600,36,20056.85791015625,,,,,0.64*beta + 1.049 | (-3.255*beta + (1.883 - 5.502*gamma)*(2.242*gamma + 0.886)**1.207 + (3.47*beta + 2.735)*(2.242*gamma + 0.886)**2.207 - 2.565)/((1.119*beta + 0.882)*(2.242*gamma + 0.886)**2.207),,records/three_step/sir/seed_4
three_step,sir,,5,5,success,0.642614865812681,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7586,14,23562.035888671875,,,,,1.761 - 1.641*gamma | 0.602*beta + 1.066,,records/three_step/sir/seed_5
three_step,sir,,6,6,success,0.7306338741152003,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7622,26,2731.7017822265625,,,,,-0.796*beta + 2.122*gamma + 1.474/(2.232*gamma + 0.887)**0.807 + 0.24 | 2.487 - 1.272/(2.232*gamma + 0.887)**1.781,,records/three_step/sir/seed_6
three_step,sir,,7,7,success,0.918490686021275,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7632,19,6735.944610595703,,,,,(1.119*beta + 0.459*gamma + 1.075)/(2.243*gamma + 0.886) | 1.235*gamma + 1.295,,records/three_step/sir/seed_7
three_step,sir,,8,8,success,0.6520069350586348,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7509,14,32642.8828125,,,,,1.77*gamma + 1.411 | 1.702 - 0.584*beta,,records/three_step/sir/seed_8
three_step,sir,,9,9,success,0.6333874439168782,pearson_abs_corr,1,,,0.5,,1,,,,,,500,500,7631,14,19310.496704101562,,,,,1.647 - 1.134*gamma | 0.756*beta + 0.569,,records/three_step/sir/seed_9
one_step,sir,,0,93,success,0.634964657245878,pearson_abs_corr,1,,,0.5,,1,,,,2,,500,500,10000,10,,-2.396545015335942,-1.0540966618983967,0.9876257811334218,0.9742673125152121,((-13.771530) + (1.846426 * (10.832370 * X2))) | (49.740883 + ((-2.048323) * (9.954390 * X1))),,records/one_step/sir/seed_0
one_step,sir,,1,8012,success,0.6433770892963843,pearson_abs_corr,1,,,0.5,,1,,,,2,,500,500,10000,10,,-2.550668756480681,-1.285197935968,0.9844026314566592,0.9775048788502092,((-14.981945) + (1.792696 * (12.670787 * X2))) | (37.649452 + (27.167480 * ((0.374429 * X2) + ((-0.883943) * X1)))),,records/one_step/sir/seed_1
one_step,sir,,2,15931,success,0.6284152951562824,pearson_abs_corr,1,,,0.5,,1,,,,1,,500,500,10000,10,,-1.7027818704574536,-0.8900913667005342,0.9864122453851021,0.9756127127525448,((-13.835683) + (1.777176 * (11.936956 * X2))) | ((-0.000006) + (((((-5.154371) * X3) + 51.908012) + ((-24.847946) * X1)) + (8.222971 * X2))),,records/one_step/sir/seed_2
