d,trial,status,n_sims,raw_on_oracle_axes,oracle_on_oracle_axes,raw_on_discovered_axes,discovered_on_discovered_axes,discovered_on_oracle_scale,rank_correct,symbolic_recovered
2,0,ok,2000,2.9402325042827164,2.9600261447367995,2.9858019195476406,3.0367497042537006,2.9911802889887764,True,True
2,1,ok,2000,2.9408310917879072,2.951405766971816,2.9379277846619583,2.970302978877693,2.973206286003642,True,True
2,2,ok,2000,2.8748973938717177,2.952923447010845,2.924195806245846,3.0185774327993045,2.969279020425176,True,True
2,3,ok,2000,2.9643624170718037,3.018886858973366,2.942995920499448,3.0457505078601894,3.067117004432545,True,True
2,4,ok,2000,2.895290882808798,2.9367120407777447,2.8586102412759296,2.8879801753030985,2.924660816835967,True,True
2,5,ok,2000,2.7477969696867843,2.7699951229092994,2.678998775653086,2.736788370046782,2.80558656408048,True,True
2,6,ok,2000,2.8968203393967302,2.93103574259777,2.8707924609048847,2.8680474345156077,2.8940753130074532,True,True
2,7,ok,2000,2.991632273250915,3.071410872304922,2.8235007623228148,2.876060406522992,3.044191917451092,True,True
2,8,ok,2000,2.8285957992193245,2.9673986984701184,2.879604687176108,2.980779571582011,2.9297706836252275,True,True
2,9,ok,2000,2.7862019634444084,2.8077922676717866,2.7395767415013728,2.781152315071874,2.8277775370149096,True,True
4,0,ok,2000,3.053343741747664,3.027024553675732,2.999512349299141,2.9636402606223453,3.0174716530708685,True,True
4,1,ok,2000,2.941327205495095,3.006396826549585,2.875158260755219,2.9570730314110545,3.0232419761509304,True,True
4,2,ok,2000,2.8870857931193727,2.8872525716581072,2.7838299533518454,2.754681436382989,2.8579372761505164,True,True
4,3,ok,2000,2.8830200953560645,2.875111128076832,2.838121044202213,2.9134683205214493,2.9583673716753007,True,True
4,4,ok,2000,2.9675663875454448,2.9652193696848657,2.7915527366165622,2.701904399445354,2.8779180503742365,True,True
4,5,ok,2000,2.9491644375118127,2.9950822911290187,2.905332545173698,2.904944746606064,2.9487766389441785,True,True
4,6,ok,2000,2.68108962139622,2.8119514806314787,2.659116385093656,2.711530245357433,2.7335034816599966,True,True
4,7,ok,2000,3.0250563341798817,2.9770579151848398,3.0320387146034657,3.0099834367648874,3.0030010563413034,True,True
4,8,ok,2000,2.9954102624268213,3.0479922851370964,3.045549328056593,3.080840623820861,3.0307015581910894,True,True
4,9,ok,2000,2.924681459589737,2.964610239592872,2.654189960141266,2.6405682063421434,2.9110597057906142,True,True
8,0,ok,2000,3.0111781012068493,2.954238766404397,2.8920959438517087,2.82661832526759,2.9457004826227307,True,True
8,1,ok,2000,3.0236852653005326,2.957733339892516,3.149671329266408,3.0406418298525866,2.914655765886711,True,True
8,2,ok,2000,2.85605760371757,3.023054400189947,2.7038415280738333,2.837008160270252,2.989224235913989,True,True
8,3,ok,2000,3.0309471039565867,3.0968292789923617,2.992781823581601,2.98047889074723,3.0186441711222156,True,True
8,4,ok,2000,3.0233772030437467,3.0589913478487656,2.7287404425879016,2.789387136068775,3.08402389652462,True,True
8,5,ok,2000,2.8408347147324986,3.0220417459643363,2.688956394728856,2.82308198708056,2.974960307084203,True,True
8,6,ok,2000,3.0405515431637955,3.051431923792064,3.111420183387803,3.082729878067638,3.0118612378436307,True,True
8,7,ok,2000,2.8604718165957475,2.901873370947566,2.7414841055380275,2.7931768826043584,2.9121645936620784,True,True
8,8,ok,2000,2.9931734397237983,2.9876028321516346,2.9058817952606195,2.834772383091272,2.922064027554451,True,True
8,9,ok,2000,3.016026867522476,3.108338830744823,3.239999233518563,3.27737332374159,3.0534009577455032,True,True
16,0,ok,2000,2.6024805970217737,3.1122194186364887,2.587410037728086,3.110392162223081,3.1254627215167683,True,True
16,1,ok,2000,2.905040710675435,2.9829702460010616,3.156159042297469,3.241343106027441,2.9902247744054073,True,True
16,2,ok,2000,2.8406563276296146,2.9597768442232995,2.760539278996343,2.839687810415888,2.9198048590491594,True,True
16,3,ok,2000,2.822469381636978,3.0206565767636526,2.87787825329381,3.0779608590840275,3.0225519874271956,True,True
16,4,ok,2000,2.8936275395598585,2.985652188695448,4.273724157810594,4.2288028176066055,2.8487061993558704,True,True
16,5,ok,2000,2.614645754803174,2.82036876905128,3.081291953521456,3.247379164010421,2.780732965292139,True,True
16,6,ok,2000,2.952256513848843,3.085214303487778,3.2167802645762658,3.2250713476703488,2.960547596942926,True,True
16,7,ok,2000,2.8760770324929648,2.896005452188423,5.420629236968015,4.918005153952164,2.3734529494771137,True,True
16,8,ok,2000,2.893425092800596,3.033547658346408,2.796222975793255,2.9762859831614223,3.0734881001687633,True,True
16,9,ok,2000,2.8657338816531115,3.02139938501865,2.7444836258570136,2.848758103359883,2.970008359155981,True,True
32,1,ok,2000,2.614808145708723,3.0762937726308626,3.9359080720123054,4.34414979255468,3.023049866251098,True,True
32,2,ok,2000,2.7629098763807742,3.001435999852603,2.689899419700714,2.8462462580592045,2.919256714739265,True,True
32,3,ok,2000,2.619694469024812,2.9223925137803723,2.507465618044689,2.782050656766812,2.8942795077469348,True,True
32,4,ok,2000,2.196655815362793,2.9614583698320303,3.513784352794563,4.09557894030636,2.7784504028745896,True,True
32,5,ok,2000,2.579033995180412,2.907047668059424,2.882299047385599,3.179836118201282,2.876571065996095,True,True
32,6,ok,2000,2.6306083602229524,2.920849621613739,2.5777672463963444,2.6995892656124174,2.7524303794390255,True,True
32,8,ok,2000,2.7180219922317392,2.9979237726179138,3.0196675578469074,3.265820607339208,2.96417504172404,True,True
32,9,ok,2000,2.786001756927688,2.9219115094895978,2.724941675618735,2.626802793545073,2.6878628748540256,True,True
