length;mse;model
1;3.714186928535865e+73;(0.8809100389 * X1)
13;inf;((0.0087775951 * X1) * (((0.0079055270 * X1) * ((((-2.7327327728) * X1) + (0.2609191537 * X2)) * exp(((-0.3941689134) * X2)))) + exp(((-0.3033444881) * X2))))
18;nan;((((exp((0.9545415640 * X2)) + ((((-8.9077968597) * X1) + exp((0.2618681490 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3666882515) * X2)))
8;nan;(((-0.9283998013) * X1) * (log(abs(log(abs(((-0.0254548825) * X1))))) * exp(((-0.2748995125) * X2))))
7;nan;(((-0.9283998013) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2748995125) * X2))))
9;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.9214611053 * X1) * exp(((-0.2754889727) * X2))))
10;nan;((((((-0.0517821796) * X1) * (0.7341285944 * X1)) * (1.3708856106 * X1)) + (2.8284614086 * X1)) * exp(((-0.2754925191) * X2)))
4;1.8215782260647602e+71;(exp(((-0.2740370631) * X2)) * ((-0.2380704284) * X1))
2;47.47353040316022;exp(((-0.0050863535) * X1))
14;nan;((0.2933468819 * X1) + ((((((-0.0579993650) * X1) * (0.7341285944 * X1)) * (1.3937953711 * X1)) + (2.5995285511 * X1)) * (exp(((-0.2822132111) * X2)) + ((-0.0220428016) * X2))))
11;inf;((2.0463860035 * X1) * (exp(((-0.3025172353) * X2)) + (((-0.0363670923) * X1) * (exp(((-0.3908242583) * X2)) * (0.5921862125 * X1)))))
6;nan;(((-0.2732442617) * X1) * (log(abs(((-0.0010346028) * X1))) + (0.7541755438 * X2)))
17;nan;((((((-0.0316601060) * X1) * (0.7202248573 * X1)) + exp((0.0033232940 * X1))) * ((2.6003210545 * X1) * (exp(((-0.2820800245) * X2)) + ((-0.0220027976) * X2)))) + (7.2473578453 + (0.2917432785 * X1)))
12;inf;(((2.8292748928 * X1) * exp(((-0.3738808334) * X2))) * ((((-0.0300624706) * X1) * (0.7341285944 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
5;inf;exp(((0.0087775951 * X1) * exp(((-0.2740367651) * X2))))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7849390507 * X1)) * (exp((0.1355252117 * X2)) + ((-0.3664472103) * X2)))
20;nan;(7.2377409935 + ((((exp((0.9550801516 * X2)) + ((((-11.0103654861) * X1) + log(abs((5.3600568771 * X2)))) * (0.3091527224 * X1))) * (0.0163071807 * X1)) + (2.7855162621 * X1)) * (exp((0.1354745030 * X2)) + ((-0.3663421273) * X2))))
1;4.154386116540082e+73;(0.9316470027 * X1)
12;47.35230225002834;exp(((0.0087775951 * X1) * (exp(((-0.3025172353) * X2)) + (((-0.0363670923) * X1) * (exp(((-0.3908242583) * X2)) * (0.5921862125 * X1))))))
18;nan;((((exp((0.9538245797 * X2)) + ((((-8.9077968597) * X1) + exp((0.2618681490 * X2))) * (0.3790642023 * X1))) * (0.0164508503 * X1)) + (2.7859561443 * X1)) * (exp((0.1355414540 * X2)) + ((-0.3665064871) * X2)))
8;nan;((2.2006139755 * X1) * (log(abs(log(abs(((-0.0307196695) * X1))))) * exp(((-0.2734089792) * X2))))
7;nan;(((-0.9283998013) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2751986980) * X2))))
9;inf;((2.2059288025 * X1) * (exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * exp(((-0.2756823301) * X2))))
10;nan;((((((-0.0517821796) * X1) * (0.7341285944 * X1)) * (1.3708856106 * X1)) + (2.8284614086 * X1)) * exp(((-0.2731730938) * X2)))
4;inf;((2.0463860035 * X1) * exp(((-0.2742309570) * X2)))
3;47.47324415855038;sqrt(exp(((-0.0101319579) * X1)))
2;47.455561860098655;exp(((-0.0038130160) * X1))
13;inf;((0.0087775951 * X1) * (((0.0068910639 * X1) * ((((-3.1301636696) * X1) + (0.3024113774 * X2)) * exp(((-0.3926631510) * X2)))) + exp(((-0.3030254841) * X2))))
11;inf;((2.0463860035 * X1) * (exp(((-0.3025172353) * X2)) + (((-0.0105114523) * X1) * ((2.0463860035 * X1) * exp(((-0.3926631510) * X2))))))
6;nan;((log(abs(((-0.0010346028) * X1))) + (0.7512409687 * X2)) * ((-0.2756492198) * X1))
17;nan;((exp((0.0150981508 * X1)) * (0.2892217934 * X1)) + ((((((-0.0571281426) * X1) * (0.7395096421 * X1)) * (1.4039921761 * X1)) + (2.6025667191 * X1)) * (exp(((-0.2787703276) * X2)) + ((-0.0219405964) * X2))))
15;nan;((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7849390507 * X1)) * (exp((0.1355414540 * X2)) + ((-0.3665064871) * X2)))
5;inf;exp(((0.0137454271 * X1) * exp(((-0.2743588984) * X2))))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2822132111) * X2)) + ((-0.0220252238) * X2))))
