length;mse;model
5;1.8666720973851756;(3.122994 + (0.500561 * (1.344193 * X2)))
6;1.8377872681623921;(1.376537 + (2.942211 * sqrt((0.614110 * X2))))
7;1.8355648241095937;(1.922687 + (0.694907 * ((4.802758 * X2) ^ 0.595172)))
8;1.1002769305489486;(0.949501 + (0.835466 * (log(abs(((-7.549708) * X1))) + (0.802005 * X2))))
9;0.5560824347866147;(1.817232 + (0.728512 * (((3.703309 * X1) * (0.057231 * X1)) + (0.930156 * X2))))
10;0.15413700674980904;((-9.534986) + (2.937314 * log(abs((((1.963600 * X1) * (4.507125 * X1)) + (34.529442 * X2))))))
12;0.11833308569134547;(0.615499 + (0.867416 * ((((2.655244 * X1) * (0.155795 * X1)) * exp(((-0.265606) * X2))) + (1.157917 * X2))))
13;0.01874658526974462;((-2.404687) + (1.321712 * ((((4.455746 * X1) * (0.070171 * X1)) * exp(((-0.342655) * X2))) + sqrt((7.871205 * X2)))))
14;0.015792358134137787;((-0.419078) + (1.068747 * ((((((-0.009650) * X1) * ((-37.901157) * X1)) + (0.707107 * X2)) ^ exp(((-0.126482) * X2))) + (0.761194 * X2))))
16;0.007237998738646155;(0.001996 + (1.001427 * ((((((2.655244 * X1) * (0.155567 * X1)) + (1.160700 * X2)) ^ exp(((-0.126482) * X2))) + (0.828824 * X2)) + (-0.882272))))
18;0.004353623473988117;((-0.001873) + (1.000670 * (((0.829219 * X2) + (-0.879226)) + (((((4.407253 * X1) * (0.093729 * X1)) + ((-0.043992) * X1)) + (1.162288 * X2)) ^ exp(((-0.126380) * X2))))))
19;0.0030061713672297563;((-0.726524) + ((-11.446799) * ((-0.251491) * ((((((1.860714 * X1) * (0.073813 * X1)) + (0.425107 * X2)) + ((-0.015005) * X1)) ^ exp(((-0.272544) * X2))) * exp((0.124175 * X2))))))
21;0.002954834410569434;(0.000003 + (1.000001 * (((-0.229139) + ((((((0.089600 * X1) * (1.441637 * X1)) + (0.382310 * X2)) + ((-0.014144) * X1)) ^ exp(((-0.278797) * X2))) * exp((0.118382 * X2)))) * 3.050457)))
22;0.002726455234069706;(0.000004 + (0.999999 * (((-0.771328) + (((((((-0.240080) * X1) * ((-0.618029) * X1)) + (0.397341 * X2)) + ((-0.016188) * X1)) ^ exp(((-0.235440) * X2))) * exp(exp((0.058669 * X2))))) + (0.367331 * X2))))
23;0.002638164099192758;((-0.000001) + (1.000000 * (((-0.248815) + ((((((0.102040 * X1) * (1.716602 * X1)) + ((0.547310 * X2) ^ 1.147936)) + ((-0.018994) * X1)) ^ exp(((-0.248902) * X2))) * exp((0.139980 * X2)))) * 2.263607)))
24;0.0025997923448639907;(0.000068 + (0.999992 * ((((-0.470763) + ((((((0.082563 * X1) * (1.441637 * X1)) + (0.464764 * X2)) + ((-0.012856) * X1)) ^ exp(((-0.265190) * X2))) * exp((0.115957 * X2)))) * 3.279114) + exp(((-0.771069) * X2)))))
