length;mse;model
1;21.141202892252704;((-0.7234944701) * X2)
9;85341077.62647702;((((-0.6745170355) * X2) + ((0.8179307580 * X1) ^ 2)) + log((10.2802600861 + (1.3607089520 * X1))))
7;inf;((((-0.7515706420) * X2) + ((0.8501954675 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99231156.77699329;((((0.8492302299 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;97926841.97827005;(((0.8465587497 * X1) ^ 2) + ((-0.7277979851) * X2))
2;403.22168014118927;((0.0378363952 * X1) ^ 2)
10;86171317.71109414;((((-0.6743405461) * X2) + ((0.8199110627 * X1) ^ 2)) + sqrt(sqrt((29.4065418243 + (6.4745926857 * X1)))))
1;21.134607703648587;((-0.6898830533) * X2)
9;83990080.2212238;((((-0.6746200323) * X2) + ((0.8146549463 * X1) ^ 2)) + sqrt((5.4324164391 + (0.6312878132 * X1))))
7;inf;((((-0.7515706420) * X2) + ((0.8501264453 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99682960.72663733;((((-0.7398599982) * X2) + ((0.8501954675 * X1) ^ 2)) + (0.1497063190 * X1))
4;92607214.95576304;(((-0.7071771622) * X2) + ((0.8348203301 * X1) ^ 2))
3;25975745.616861675;(((-1.0768485069) * X1) * (0.3427371979 * X1))
2;32.52973041274856;(((-0.0157603975) * X1) ^ 2)
10;85341168.91773634;((((-0.6745170951) * X2) + (((-1.7683072090) * X1) * ((-0.3783341944) * X1))) + log((10.2802944183 + (1.3607385159 * X1))))
1;497.6896465640146;(1.0518313646 * X1)
9;inf;((exp((0.1344863027 * X1)) + (1.3309551477 + ((-0.6745916009) * X2))) + (((-0.8065046668) * X1) ^ 2))
7;inf;((((-0.7489578724) * X2) + ((0.8492302299 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99650581.70195194;((((-0.7398599982) * X2) + ((0.8501264453 * X1) ^ 2)) + (0.1497063190 * X1))
4;96602520.6205686;(((-0.7234944701) * X2) + ((0.8436821103 * X1) ^ 2))
3;228339505.83004925;(((-1.7683072090) * X1) * ((-0.6188620329) * X1))
2;14.594694111188394;exp(((-0.0844489262) * X2))
10;83990062.10807347;((((-0.6746200323) * X2) + (((-0.4112584889) * X1) * ((-1.6137360334) * X1))) + sqrt((5.4324164391 + (0.6312876344 * X1))))
1;30.783104801650456;(0.1497063190 * X1)
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((0.8501954675 * X1) ^ 2) + ((-0.6917276382) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8495633602 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99650581.70127912;((((0.8501264453 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;97380307.06708291;(((-0.7234944701) * X2) + (((-0.8453751802) * X1) ^ 2))
3;inf;exp(((0.0864071548 * X1) ^ 2))
2;14.572711512703068;exp(((-0.0885663554) * X2))
10;inf;((exp((0.1344862878 * X1)) + (exp(0.2858969271) + ((-0.6745916009) * X2))) + ((0.8065046668 * X1) ^ 2))
1;628.6778017066013;(1.1864213943 * X1)
7;inf;((((-0.7515706420) * X2) + ((0.8495633602 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99682960.72596446;((((0.8501954675 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;101523418.31162684;(((0.8542266488 * X1) ^ 2) + ((-0.7379882336) * X2))
3;inf;exp((((-0.4037801623) * X1) ^ 2))
2;14.564434607375093;exp(((-0.0901039988) * X2))
9;inf;((2.3309981823 ^ exp((0.0680632144 * X1))) + (((0.8068465590 * X1) ^ 2) + ((-0.6745843291) * X2)))
1;5.210313491098281;3.3336791992
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6898831129) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8501264453 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99386911.41814648;((((-0.7398599982) * X2) + ((0.8495633602 * X1) ^ 2)) + (0.1497063190 * X1))
4;98091454.98371173;(((0.8469142914 * X1) ^ 2) + ((-0.7249698639) * X2))
3;inf;exp((((-0.4043925107) * X1) ^ 2))
2;14.616683849539058;exp(((-0.0802800208) * X2))
10;inf;((2.3309981823 ^ exp((0.0680632144 * X1))) + ((((-1.0768485069) * X1) * ((-0.6045431495) * X1)) + ((-0.6745843291) * X2)))
1;5.013833656581358;5.0775561333
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((0.8495633602 * X1) ^ 2) + ((-0.6898831129) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8501954675 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;99683671.11208954;((((-0.7398599982) * X2) + ((0.8501954675 * X1) ^ 2)) + (0.1514078081 * X1))
